product_id,level_1,level_2,level_3,level_4,segment_id,brand_id,vendor_id,netto,is_own_trademark,is_alcohol
0003020d3c,c3d3a8e8c6,c2a3ea8d5e,b7cda0ec0c,6376f2a852,123.0,394a54a7c1,9eaff48661,0.4,0,0
0003870676,e344ab2e71,52f13dac0c,d3cfe81323,6dc544533f,105.0,acd3dd483f,10486c3cf0,0.68,0,0
0003ceaf69,c3d3a8e8c6,f2333c90fb,419bc5b424,f6148afbc0,271.0,f597581079,764e660dda,0.5,0,0
000701e093,ec62ce61e3,4202626fcb,88a515c084,48cf3d488f,172.0,54a90fe769,03c2d70bad,0.11199999999999999,0,0
0007149564,e344ab2e71,52f13dac0c,d3cfe81323,6dc544533f,105.0,63417fe1f3,f329130198,0.6,0,0
0008bf7786,e344ab2e71,749c619457,5e89a8adcc,d453d4e1e8,165.0,0d6f137fb6,88f2ca925a,0.75,0,1
0009170c33,c3d3a8e8c6,ad2b2e17d2,ca69ed9de2,8bbeabc581,212.0,,6a48b9976d,0.4,0,0
000b76558e,c3d3a8e8c6,d283080a93,f976a3c5f9,38c655d9b4,48.0,ea9e0181eb,8f55c680fa,0.45,0,0
00117bd32b,c3d3a8e8c6,ad2b2e17d2,eda7b2976b,1e7082b4bb,177.0,c34d31ceec,7e01a40bc1,0.25,0,0
0011ab9d97,e344ab2e71,ed2ad1797c,b25baa9dd5,fe255b600a,116.0,fce7934ead,95ea122ece,0.005,0,0
0012a164c0,e344ab2e71,749c619457,a50a028f07,d5e26c4061,321.0,0d6f137fb6,43acd80c1a,0.75,1,1
00145315d5,c3d3a8e8c6,f2333c90fb,419bc5b424,3a32c05cfb,271.0,089669cb44,32e4647573,0.34,0,0
00146e3ac6,e344ab2e71,52f13dac0c,0f84eb7480,420c3b3f0b,150.0,,2445b69be2,0.07,0,0
0016914eaa,ec62ce61e3,8a277809e5,d605ac2b79,fbbd117fd7,102.0,0d6f137fb6,8ad28e1ef9,0.023,0,0
00171ca87b,c3d3a8e8c6,ad2b2e17d2,ca69ed9de2,3d648097f6,85.0,b3d72cc9a2,67a1769efa,0.5,0,0
0017685f49,c3d3a8e8c6,f2333c90fb,419bc5b424,f6148afbc0,271.0,9db612eac2,fd8246901b,0.5,0,0
0018c79378,c3d3a8e8c6,f2333c90fb,419bc5b424,3a32c05cfb,271.0,99e6505827,66414e3fc1,0.35,0,0
0019e02122,e344ab2e71,52f13dac0c,38816369ce,4d4b7e1f16,105.0,0d6f137fb6,d627418c88,0.3,0,0
0019e7e1a4,e344ab2e71,703f4b6eb0,8b5cca6319,bf375b7a11,119.0,d018a7e650,895a3b727b,0.2,0,0
001a0f9586,c3d3a8e8c6,f2333c90fb,419bc5b424,f7c957d825,271.0,f3a4a72359,9cba311cbf,0.18,0,0
001ba8a3cf,e344ab2e71,52f13dac0c,d3cfe81323,6dc544533f,105.0,d5b53bff9f,7011de12bd,0.6,0,0
001c41d0a0,e344ab2e71,52f13dac0c,0f84eb7480,420c3b3f0b,150.0,4da2dc345f,abab1ffcf7,0.3,0,0
001c7227b3,e344ab2e71,ed2ad1797c,c4d797fc64,06c92a10b1,111.0,71b08d72b9,a1b796ebcd,0.185,0,0
001c8e3b3a,e344ab2e71,14d373dff5,39532a0f6f,10c4309c57,92.0,fcb537d6b0,43acd80c1a,0.5,1,0
001d019045,e344ab2e71,52f13dac0c,d3cfe81323,6dc544533f,105.0,5bbedaf707,7d5c04d1f4,0.6,0,0
001eb0aeef,e344ab2e71,52f13dac0c,d3cfe81323,6dc544533f,105.0,4da2dc345f,25c8cdeef3,0.35,0,0
001ec733e0,e344ab2e71,52f13dac0c,0f84eb7480,420c3b3f0b,150.0,99de5e469e,abab1ffcf7,0.08,0,0
001ed6661d,c3d3a8e8c6,ad2b2e17d2,d7ca614c25,b201a329b9,214.0,f0d52c2ace,0b54e1da3d,0.18,0,0
0020caa486,e344ab2e71,52f13dac0c,6b55683dad,56426fcb60,105.0,4da2dc345f,7cea9f2605,400.0,0,0
002414bc63,c3d3a8e8c6,f2333c90fb,419bc5b424,f6148afbc0,271.0,f19b696462,93eca6d05b,0.4,0,0
0028f73ec0,e344ab2e71,52f13dac0c,0f84eb7480,420c3b3f0b,150.0,840be0229b,21a91c0064,0.18,0,0
002990f70e,e344ab2e71,14d373dff5,3e810ee449,dcf1c1e6de,223.0,b3108434f6,144f4e066a,1.5,0,0
002c59c78b,e344ab2e71,1d2939ba1d,1876935d56,68d404447a,148.0,e67de61819,77cb018b02,0.32,0,0
002cd4c65d,e344ab2e71,fb3d79909e,b4f6ca38b2,efbcf6d00c,230.0,af8c93cb1a,43acd80c1a,0.415,1,0
